JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2402416.4640,4.25,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402420.4240,3.82,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402421.4840,3.65,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402422.4240,3.85,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402423.4340,4.35,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402424.4040,4.40,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402425.3940,3.95,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402428.4440,3.84,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402430.4440,4.22,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402431.4440,4.38,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402434.4140,3.60,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402438.4340,4.47,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402438.4540,4.45,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402440.4340,3.52,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402445.4740,4.45,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402447.4740,3.60,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402448.4340,3.57,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402450.4440,3.90,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402450.4840,3.94,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402451.4140,4.20,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402458.3940,4.40,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402468.4240,3.87,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402469.4140,3.53,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402473.3940,4.38,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402486.3940,3.80,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402487.4340,4.20,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402488.3340,4.25,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402492.4240,3.80,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402494.3240,3.95,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402495.3640,4.30,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402496.3740,4.40,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402497.3940,3.85,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402500.3640,3.65,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402501.4240,3.86,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402502.2940,4.35,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402504.3240,3.65,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402517.3140,4.35,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402523.3240,4.30,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402526.3240,3.66,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402554.2840,3.95,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402584.2240,3.55,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402586.2240,3.71,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402593.2140,3.83,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402594.2140,3.93,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402716.5440,4.25,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402717.5440,4.23,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402718.5640,4.40,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402719.5740,3.80,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402724.5340,4.20,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402728.5140,3.60,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402739.4940,4.40,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402740.4940,4.30,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402742.4840,3.85,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402743.5540,3.65,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402744.4940,3.85,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402746.4940,3.95,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402748.4940,4.00,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402755.4840,4.18,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402756.4640,3.50,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402759.4940,4.12,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402760.4940,4.25,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402762.4640,3.98,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402762.5140,3.95,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402764.4840,3.65,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402773.4640,3.90,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402774.4140,4.20,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402790.4840,4.36,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402794.4940,3.80,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402808.4440,3.76,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402837.3940,4.12,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402839.3940,4.40,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402873.3440,3.60,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402874.3340,3.90,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402875.3740,4.12,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402876.3640,4.30,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
2402877.4840,3.95,,,Vis.,SNX,,NA,,NA,"""DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900.""",,,Z,,,,ETA AQL,AAVSO,STD,,2009BCrAO.105...78B,PKV,
